case_id,class_id,class_name,gt_voxels,pred_voxels,tp,fp,fn,gt_min,gt_max,pred_min,pred_max,gt_centroid,pred_centroid,centroid_displacement_vox
oaizib_001,1,Femur,2158042,8690519,2127879,6562640,30163,"[np.int64(13), np.int64(106), np.int64(172)]","[np.int64(139), np.int64(293), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(77.27), np.float64(205.94), np.float64(267.46)]","[np.float64(81.83), np.float64(222.71), np.float64(198.72)]",70.91
oaizib_001,2,Femoral Cartilage,198528,577220,190089,387131,8439,"[np.int64(15), np.int64(99), np.int64(166)]","[np.int64(132), np.int64(299), np.int64(299)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(76.43), np.float64(185.24), np.float64(210.2)]","[np.float64(75.11), np.float64(193.94), np.float64(199.36)]",13.96
oaizib_001,3,Tibia,1569406,3963231,1228258,2734973,341148,"[np.int64(19), np.int64(89), np.int64(0)]","[np.int64(134), np.int64(253), np.int64(190)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(76.35), np.float64(168.18), np.float64(99.46)]","[np.float64(77.13), np.float64(147.79), np.float64(193.17)]",95.91
oaizib_001,4,Medial Tibial Cartilage,26057,314673,11006,303667,15051,"[np.int64(19), np.int64(97), np.int64(155)]","[np.int64(64), np.int64(232), np.int64(188)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(45.62), np.float64(167.66), np.float64(168.98)]","[np.float64(75.08), np.float64(140.39), np.float64(183.23)]",42.6
oaizib_001,5,Lateral Tibial Cartilage,30829,113038,18422,94616,12407,"[np.int64(85), np.int64(94), np.int64(153)]","[np.int64(134), np.int64(203), np.int64(194)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(381)]","[np.float64(106.63), np.float64(146.21), np.float64(172.15)]","[np.float64(77.09), np.float64(173.05), np.float64(173.72)]",39.94
oaizib_006,1,Femur,1660230,11237246,1642032,9595214,18198,"[np.int64(33), np.int64(101), np.int64(120)]","[np.int64(140), np.int64(274), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(88.41), np.float64(194.67), np.float64(225.33)]","[np.float64(76.77), np.float64(221.62), np.float64(195.35)]",41.96
oaizib_006,2,Femoral Cartilage,153091,446545,145823,300722,7268,"[np.int64(37), np.int64(92), np.int64(111)]","[np.int64(135), np.int64(281), np.int64(233)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(382)]","[np.float64(90.55), np.float64(171.8), np.float64(156.42)]","[np.float64(82.86), np.float64(176.8), np.float64(177.01)]",22.54
oaizib_006,3,Tibia,885573,3180227,761700,2418527,123873,"[np.int64(43), np.int64(102), np.int64(0)]","[np.int64(142), np.int64(249), np.int64(136)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(93.4), np.float64(174.18), np.float64(66.36)]","[np.float64(83.57), np.float64(151.1), np.float64(163.77)]",100.59
oaizib_006,4,Medial Tibial Cartilage,16202,207861,5898,201963,10304,"[np.int64(45), np.int64(107), np.int64(104)]","[np.int64(80), np.int64(231), np.int64(126)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(158), np.int64(382), np.int64(381)]","[np.float64(62.63), np.float64(163.19), np.float64(112.01)]","[np.float64(79.71), np.float64(139.53), np.float64(221.73)]",113.53
oaizib_006,5,Lateral Tibial Cartilage,29667,90875,20004,70871,9663,"[np.int64(97), np.int64(106), np.int64(102)]","[np.int64(141), np.int64(213), np.int64(135)]","[np.int64(0), np.int64(1), np.int64(2)]","[np.int64(159), np.int64(366), np.int64(381)]","[np.float64(116.77), np.float64(152.63), np.float64(118.87)]","[np.float64(85.81), np.float64(154.53), np.float64(175.18)]",64.29
oaizib_010,1,Femur,1935577,10891933,1850108,9041825,85469,"[np.int64(25), np.int64(96), np.int64(140)]","[np.int64(145), np.int64(268), np.int64(383)]","[np.int64(0), np.int64(0), np.int64(0)]","[np.int64(159), np.int64(383), np.int64(383)]","[np.float64(86.41), np.float64(189.62), np.float64(239.76)]","[np.float64(78.0), np.float64(233.38), np.float64(191.9)]",65.39
oaizib_010,2,Femoral Cartilage,145241,531918,132940,398978,12301,"[np.int64(31), np.int64(87), np.int64(132)]","[np.int64(138), np.int64(275), np.int64(254)]","[np.int64(0), np.int64(1), np.int64(0)]","[np.int64(159), np.int64(382), np.int64(381)]","[np.float64(88.34), np.float64(166.71), np.float64(177.22)]","[np.float64(81.4), np.float64(167.09), np.float64(180.07)]",7.52
